date,rain_mm,tmean_c,tmin_c,tmax_c,status,gwetroot_fraction
1981-01-01,20.44,22.31,17.32,27.62,nasa,0.85
1981-01-02,12.04,21.38,18.63,24.89,nasa,0.85
1981-01-03,10.69,20.61,17.8,25.17,nasa,0.85
1981-01-04,3.15,22.03,16.25,27.3,nasa,0.84
1981-01-05,1.84,22.11,17.24,26.51,nasa,0.83
1981-01-06,1.25,22.02,15.94,28.22,nasa,0.82
1981-01-07,2.97,22.46,17.52,27.5,nasa,0.81
1981-01-08,9.35,22.67,17.18,27.38,nasa,0.81
1981-01-09,9.53,22.08,17.29,26.78,nasa,0.82
1981-01-10,25.23,21.47,18.06,24.93,nasa,0.84
1981-01-11,18.93,21.28,18.25,25.54,nasa,0.86
1981-01-12,34.21,20.67,17.95,24.35,nasa,0.89
1981-01-13,21.08,21.0,18.1,24.75,nasa,0.9
1981-01-14,20.42,21.34,18.46,25.47,nasa,0.9
1981-01-15,26.87,21.49,18.29,25.84,nasa,0.91
1981-01-16,9.45,21.64,17.54,26.53,nasa,0.92
1981-01-17,1.22,22.23,17.1,26.89,nasa,0.9
1981-01-18,0.86,22.58,18.49,27.8,nasa,0.89
1981-01-19,0.73,21.55,16.67,27.17,nasa,0.88
1981-01-20,2.29,22.03,16.87,26.22,nasa,0.87
1981-01-21,7.79,22.87,17.62,27.52,nasa,0.87
1981-01-22,6.81,20.89,17.65,24.66,nasa,0.88
1981-01-23,15.65,21.7,18.44,26.05,nasa,0.89
1981-01-24,5.03,21.53,17.91,26.34,nasa,0.89
1981-01-25,9.45,21.36,17.51,26.11,nasa,0.89
1981-01-26,17.09,21.0,17.4,26.04,nasa,0.89
1981-01-27,6.37,20.33,16.89,24.52,nasa,0.9
1981-01-28,2.35,19.98,16.33,24.81,nasa,0.89
1981-01-29,1.09,20.87,16.26,26.46,nasa,0.88
1981-01-30,0.68,21.76,15.78,27.42,nasa,0.88
1981-01-31,2.94,21.96,17.65,27.17,nasa,0.87
1981-02-01,5.57,21.8,17.75,26.97,nasa,0.87
1981-02-02,0.86,21.85,17.12,27.46,nasa,0.87
1981-02-03,0.08,22.52,16.7,28.56,nasa,0.86
1981-02-04,0.56,22.81,16.31,28.56,nasa,0.85
1981-02-05,0.51,23.01,17.57,28.3,nasa,0.84
1981-02-06,1.29,23.34,19.38,28.3,nasa,0.84
1981-02-07,1.65,21.55,18.73,25.58,nasa,0.84
1981-02-08,1.91,21.16,17.66,25.79,nasa,0.84
1981-02-09,7.92,20.61,17.74,24.28,nasa,0.85
1981-02-10,8.89,21.03,15.62,27.04,nasa,0.85
1981-02-11,11.06,20.89,15.32,26.55,nasa,0.85
1981-02-12,5.75,21.11,15.65,26.31,nasa,0.86
1981-02-13,1.84,21.31,15.99,26.78,nasa,0.85
1981-02-14,0.06,21.25,16.89,26.57,nasa,0.85
1981-02-15,0.02,20.91,16.61,26.21,nasa,0.84
1981-02-16,0.06,20.38,16.66,25.9,nasa,0.83
1981-02-17,0.32,20.57,15.23,26.26,nasa,0.82
1981-02-18,0.04,21.27,16.52,26.95,nasa,0.81
1981-02-19,0.75,20.7,16.01,26.34,nasa,0.81
1981-02-20,0.25,20.41,16.04,25.6,nasa,0.8
1981-02-21,0.35,20.67,16.89,25.95,nasa,0.8
1981-02-22,0.0,20.94,16.74,26.44,nasa,0.79
1981-02-23,0.02,20.9,16.48,26.42,nasa,0.79
1981-02-24,0.62,21.04,17.14,25.99,nasa,0.79
1981-02-25,0.02,20.87,16.81,26.5,nasa,0.78
1981-02-26,1.03,21.0,16.35,26.71,nasa,0.78
1981-02-27,0.43,21.13,16.81,26.59,nasa,0.77
1981-02-28,1.37,21.44,15.27,27.62,nasa,0.77
1981-03-01,0.21,22.0,16.26,27.94,nasa,0.76
1981-03-02,1.39,21.93,16.53,27.49,nasa,0.76
1981-03-03,0.26,23.02,16.75,28.94,nasa,0.75
1981-03-04,10.8,23.67,18.1,28.92,nasa,0.76
1981-03-05,4.67,23.16,17.92,28.6,nasa,0.76
1981-03-06,3.83,22.71,17.98,27.02,nasa,0.77
1981-03-07,26.67,22.83,18.41,27.33,nasa,0.78
1981-03-08,15.05,22.62,18.15,27.9,nasa,0.81
1981-03-09,13.72,21.9,17.04,27.92,nasa,0.82
1981-03-10,4.54,21.87,16.93,26.18,nasa,0.82
1981-03-11,0.1,22.41,17.97,27.91,nasa,0.81
1981-03-12,0.03,21.67,16.16,28.04,nasa,0.79
1981-03-13,0.01,21.43,15.51,27.83,nasa,0.78
1981-03-14,0.71,21.98,17.47,27.45,nasa,0.78
1981-03-15,2.33,22.59,16.87,28.22,nasa,0.77
1981-03-16,0.76,23.06,17.29,28.36,nasa,0.77
1981-03-17,16.2,22.72,18.87,27.23,nasa,0.78
1981-03-18,13.72,22.45,17.83,28.19,nasa,0.79
1981-03-19,8.62,21.79,18.42,26.87,nasa,0.8
1981-03-20,11.38,21.54,16.36,26.92,nasa,0.81
1981-03-21,16.67,21.55,18.3,26.29,nasa,0.82
1981-03-22,2.17,21.56,18.07,26.82,nasa,0.82
1981-03-23,0.77,20.8,17.06,26.06,nasa,0.8
1981-03-24,0.98,19.82,13.72,25.78,nasa,0.79
1981-03-25,8.51,20.84,17.18,25.88,nasa,0.79
1981-03-26,16.71,20.4,18.19,24.01,nasa,0.81
1981-03-27,13.15,19.58,17.91,21.89,nasa,0.83
1981-03-28,18.68,19.65,17.87,22.97,nasa,0.84
1981-03-29,25.0,19.26,16.6,21.9,nasa,0.87
1981-03-30,3.63,20.4,17.54,24.14,nasa,0.86
1981-03-31,0.23,20.65,16.51,26.29,nasa,0.85
1981-04-01,0.91,19.7,15.21,25.9,nasa,0.84
1981-04-02,2.89,19.04,13.16,25.56,nasa,0.83
1981-04-03,2.95,19.76,15.38,25.26,nasa,0.83
1981-04-04,2.35,20.25,16.21,25.39,nasa,0.82
1981-04-05,2.43,19.05,14.94,24.25,nasa,0.82
1981-04-06,0.07,18.26,13.01,25.11,nasa,0.82
1981-04-07,0.25,18.28,12.02,24.89,nasa,0.81
1981-04-08,0.11,18.86,13.82,25.02,nasa,0.8
1981-04-09,0.06,19.02,13.43,25.25,nasa,0.8
1981-04-10,0.26,19.24,14.77,24.76,nasa,0.79
1981-04-11,0.0,19.19,13.44,25.1,nasa,0.79
1981-04-12,0.0,19.45,13.77,25.38,nasa,0.79
1981-04-13,0.0,19.2,13.67,24.26,nasa,0.78
1981-04-14,0.15,19.5,14.09,24.88,nasa,0.78
1981-04-15,0.78,19.47,14.91,24.38,nasa,0.78
1981-04-16,1.02,19.98,16.39,25.14,nasa,0.78
1981-04-17,0.43,18.95,14.98,24.53,nasa,0.78
1981-04-18,0.0,16.78,12.52,22.26,nasa,0.77
1981-04-19,0.04,16.0,12.03,21.28,nasa,0.77
1981-04-20,1.62,15.68,10.67,21.82,nasa,0.77
1981-04-21,0.0,16.66,10.69,23.44,nasa,0.77
1981-04-22,0.15,17.63,11.36,23.76,nasa,0.76
1981-04-23,0.16,19.18,12.88,24.77,nasa,0.76
1981-04-24,0.16,19.32,13.64,25.31,nasa,0.76
1981-04-25,0.45,18.85,15.72,23.56,nasa,0.75
1981-04-26,0.04,19.02,15.19,24.67,nasa,0.75
1981-04-27,4.41,19.36,13.48,25.1,nasa,0.75
1981-04-28,7.91,19.51,14.69,24.39,nasa,0.75
1981-04-29,6.73,18.41,15.84,22.32,nasa,0.77
1981-04-30,0.0,19.41,15.3,24.93,nasa,0.77
1981-05-01,0.15,19.09,14.51,23.75,nasa,0.77
1981-05-02,8.57,18.89,16.25,23.35,nasa,0.78
1981-05-03,0.2,17.95,13.82,22.78,nasa,0.78
1981-05-04,0.0,18.06,12.89,24.53,nasa,0.77
1981-05-05,0.0,18.7,12.85,25.09,nasa,0.76
1981-05-06,0.0,18.27,13.83,24.68,nasa,0.76
1981-05-07,0.0,17.02,12.65,23.31,nasa,0.75
1981-05-08,0.0,16.78,12.57,22.84,nasa,0.75
1981-05-09,0.06,17.02,12.8,23.31,nasa,0.74
1981-05-10,0.01,17.41,12.69,23.55,nasa,0.74
1981-05-11,0.0,16.44,11.49,23.02,nasa,0.74
1981-05-12,0.0,15.59,9.22,23.22,nasa,0.73
1981-05-13,0.07,16.12,9.31,23.34,nasa,0.73
1981-05-14,0.0,18.52,13.3,24.12,nasa,0.73
1981-05-15,0.0,17.96,11.21,24.32,nasa,0.72
1981-05-16,0.0,18.03,11.44,25.04,nasa,0.72
1981-05-17,0.0,17.33,11.77,23.93,nasa,0.72
1981-05-18,0.0,17.22,12.38,23.29,nasa,0.71
1981-05-19,0.19,17.61,12.84,24.05,nasa,0.71
1981-05-20,0.15,17.03,12.98,22.77,nasa,0.71
1981-05-21,0.02,16.2,10.36,22.74,nasa,0.71
1981-05-22,0.0,16.26,11.77,22.47,nasa,0.71
1981-05-23,0.01,16.21,12.59,21.84,nasa,0.71
1981-05-24,0.1,16.26,12.33,22.28,nasa,0.71
1981-05-25,1.05,16.34,11.65,22.37,nasa,0.7
1981-05-26,0.37,16.75,11.08,23.03,nasa,0.7
1981-05-27,2.11,17.0,11.57,22.67,nasa,0.7
1981-05-28,6.81,16.83,10.41,22.64,nasa,0.71
1981-05-29,0.37,16.43,10.97,22.41,nasa,0.71
