date,rain_mm,tmean_c,tmin_c,tmax_c,status,gwetroot_fraction
1981-01-01,0.05,21.4,16.95,28.11,nasa,0.46
1981-01-02,0.19,21.39,18.17,26.92,nasa,0.46
1981-01-03,0.0,21.22,17.65,27.72,nasa,0.46
1981-01-04,0.0,21.66,17.83,28.4,nasa,0.46
1981-01-05,0.0,21.85,16.99,29.27,nasa,0.46
1981-01-06,0.0,23.13,17.29,30.76,nasa,0.46
1981-01-07,0.0,23.07,19.03,29.28,nasa,0.46
1981-01-08,0.0,21.69,17.43,27.6,nasa,0.46
1981-01-09,0.0,21.41,16.97,28.46,nasa,0.46
1981-01-10,0.0,19.31,15.95,24.89,nasa,0.46
1981-01-11,0.0,18.28,15.26,22.7,nasa,0.46
1981-01-12,0.0,16.42,14.38,20.13,nasa,0.46
1981-01-13,0.0,17.49,14.08,21.94,nasa,0.46
1981-01-14,0.0,18.05,15.3,22.07,nasa,0.46
1981-01-15,0.0,19.73,14.31,27.17,nasa,0.46
1981-01-16,0.0,19.57,15.28,26.58,nasa,0.46
1981-01-17,0.0,18.73,14.38,25.82,nasa,0.46
1981-01-18,0.0,19.71,14.34,27.45,nasa,0.46
1981-01-19,0.0,20.23,14.65,28.06,nasa,0.46
1981-01-20,0.0,21.66,15.09,29.62,nasa,0.46
1981-01-21,0.0,22.78,16.3,30.62,nasa,0.46
1981-01-22,0.0,22.74,18.99,28.65,nasa,0.46
1981-01-23,0.0,21.82,17.86,28.13,nasa,0.46
1981-01-24,0.0,20.83,15.91,27.75,nasa,0.46
1981-01-25,0.0,21.01,15.74,28.31,nasa,0.46
1981-01-26,0.0,21.53,17.18,27.88,nasa,0.46
1981-01-27,0.0,21.35,18.41,26.34,nasa,0.46
1981-01-28,0.0,22.25,18.44,28.19,nasa,0.46
1981-01-29,0.01,22.42,18.45,27.98,nasa,0.46
1981-01-30,0.13,23.03,18.6,29.46,nasa,0.46
1981-01-31,0.01,23.17,19.36,29.16,nasa,0.46
1981-02-01,0.0,23.53,19.34,30.46,nasa,0.46
1981-02-02,0.0,23.36,19.43,30.34,nasa,0.46
1981-02-03,0.0,24.03,18.15,32.33,nasa,0.46
1981-02-04,0.0,23.1,18.72,30.15,nasa,0.46
1981-02-05,0.0,22.45,17.8,29.77,nasa,0.46
1981-02-06,0.0,22.07,17.15,29.43,nasa,0.46
1981-02-07,0.0,21.01,16.33,28.37,nasa,0.46
1981-02-08,0.0,20.85,16.36,28.61,nasa,0.45
1981-02-09,0.0,21.43,16.2,29.16,nasa,0.45
1981-02-10,0.0,21.04,16.6,28.0,nasa,0.45
1981-02-11,0.0,23.16,17.37,30.95,nasa,0.45
1981-02-12,0.0,23.58,18.55,30.74,nasa,0.45
1981-02-13,0.0,23.97,18.98,29.96,nasa,0.45
1981-02-14,0.06,25.47,18.2,33.72,nasa,0.45
1981-02-15,0.0,25.52,20.01,32.46,nasa,0.45
1981-02-16,0.0,26.39,19.96,33.66,nasa,0.45
1981-02-17,0.0,26.82,20.97,33.71,nasa,0.45
1981-02-18,0.0,26.25,21.12,32.5,nasa,0.45
1981-02-19,0.0,25.96,19.08,34.23,nasa,0.45
1981-02-20,0.0,24.32,17.06,33.53,nasa,0.45
1981-02-21,0.0,23.77,17.7,32.39,nasa,0.45
1981-02-22,0.0,25.71,16.25,36.03,nasa,0.45
1981-02-23,0.0,27.14,18.67,36.52,nasa,0.45
1981-02-24,0.0,27.56,20.84,35.84,nasa,0.45
1981-02-25,0.03,27.11,19.13,36.26,nasa,0.45
1981-02-26,0.25,24.61,20.2,31.08,nasa,0.45
1981-02-27,0.0,24.82,19.77,32.11,nasa,0.45
1981-02-28,0.0,24.99,18.38,33.25,nasa,0.45
1981-03-01,0.0,25.78,18.81,33.94,nasa,0.45
1981-03-02,0.0,26.32,20.14,34.59,nasa,0.45
1981-03-03,0.0,24.44,17.47,33.1,nasa,0.45
1981-03-04,0.0,24.72,18.79,33.29,nasa,0.45
1981-03-05,0.0,24.0,18.59,32.12,nasa,0.45
1981-03-06,0.0,24.05,17.84,32.83,nasa,0.45
1981-03-07,0.0,23.78,18.35,31.32,nasa,0.45
1981-03-08,0.0,24.74,18.27,33.37,nasa,0.45
1981-03-09,0.0,24.91,18.32,33.68,nasa,0.45
1981-03-10,0.0,25.18,19.75,33.57,nasa,0.45
1981-03-11,0.0,25.52,18.61,34.4,nasa,0.45
1981-03-12,0.0,26.45,17.95,35.85,nasa,0.45
1981-03-13,0.0,26.56,18.69,35.98,nasa,0.45
1981-03-14,0.0,26.35,17.58,36.4,nasa,0.45
1981-03-15,0.0,26.13,17.57,36.23,nasa,0.45
1981-03-16,0.0,26.37,18.76,35.93,nasa,0.45
1981-03-17,0.0,27.22,17.69,37.16,nasa,0.45
1981-03-18,0.0,28.69,21.23,36.91,nasa,0.45
1981-03-19,0.0,29.16,22.1,36.87,nasa,0.45
1981-03-20,0.0,29.57,22.62,36.18,nasa,0.45
1981-03-21,0.0,29.21,23.34,35.8,nasa,0.45
1981-03-22,0.0,28.77,22.84,35.67,nasa,0.45
1981-03-23,0.0,27.36,22.95,32.43,nasa,0.45
1981-03-24,0.0,28.64,20.32,37.11,nasa,0.45
1981-03-25,0.0,29.38,22.29,37.99,nasa,0.44
1981-03-26,0.0,28.01,20.18,37.49,nasa,0.44
1981-03-27,0.0,26.81,19.43,36.12,nasa,0.44
1981-03-28,0.0,26.65,19.15,36.39,nasa,0.44
1981-03-29,0.0,26.72,20.44,35.11,nasa,0.44
1981-03-30,0.0,25.83,21.26,31.74,nasa,0.44
1981-03-31,0.0,26.43,20.63,34.18,nasa,0.44
1981-04-01,0.0,26.64,20.78,33.94,nasa,0.44
1981-04-02,0.0,27.01,21.12,34.1,nasa,0.45
1981-04-03,0.01,28.63,21.03,37.08,nasa,0.45
1981-04-04,0.0,27.25,23.0,33.72,nasa,0.45
1981-04-05,0.0,28.45,21.7,36.37,nasa,0.45
1981-04-06,0.0,29.16,23.61,36.51,nasa,0.45
1981-04-07,0.0,28.42,23.8,34.23,nasa,0.45
1981-04-08,0.0,29.22,24.07,35.79,nasa,0.45
1981-04-09,0.0,29.25,22.02,38.32,nasa,0.45
1981-04-10,0.0,29.03,21.35,37.7,nasa,0.44
1981-04-11,0.0,29.16,21.96,37.15,nasa,0.44
1981-04-12,0.0,28.63,22.13,36.24,nasa,0.44
1981-04-13,0.05,28.27,21.95,35.19,nasa,0.44
1981-04-14,0.08,25.68,21.34,31.26,nasa,0.44
1981-04-15,0.0,26.27,21.26,32.49,nasa,0.44
1981-04-16,0.7,26.66,21.82,33.77,nasa,0.44
1981-04-17,3.88,26.84,21.4,34.39,nasa,0.45
1981-04-18,0.0,27.01,22.72,32.53,nasa,0.45
1981-04-19,0.12,27.29,22.75,33.38,nasa,0.45
1981-04-20,0.62,27.73,22.86,35.2,nasa,0.45
1981-04-21,0.18,25.53,21.15,31.99,nasa,0.45
1981-04-22,0.0,27.43,21.83,35.53,nasa,0.45
1981-04-23,0.0,27.61,22.5,35.47,nasa,0.45
1981-04-24,0.04,29.17,22.24,37.48,nasa,0.45
1981-04-25,1.46,27.73,20.45,36.17,nasa,0.45
1981-04-26,13.22,25.62,21.04,32.59,nasa,0.46
1981-04-27,0.0,26.35,21.12,33.67,nasa,0.47
1981-04-28,2.74,26.06,21.37,32.31,nasa,0.47
1981-04-29,12.1,25.29,19.95,33.42,nasa,0.48
1981-04-30,0.0,26.39,19.94,34.52,nasa,0.49
1981-05-01,0.05,27.3,20.91,35.95,nasa,0.48
1981-05-02,0.26,27.17,20.16,35.99,nasa,0.47
1981-05-03,1.16,27.12,19.77,35.93,nasa,0.47
1981-05-04,7.17,23.93,19.41,30.45,nasa,0.47
1981-05-05,0.0,23.99,18.6,30.58,nasa,0.48
1981-05-06,0.04,25.9,19.72,33.39,nasa,0.47
1981-05-07,0.08,25.83,20.5,32.51,nasa,0.47
1981-05-08,0.0,27.1,21.26,33.92,nasa,0.47
1981-05-09,0.0,27.65,21.93,34.87,nasa,0.46
1981-05-10,0.44,28.1,21.55,36.27,nasa,0.46
1981-05-11,1.62,26.8,22.21,33.72,nasa,0.46
1981-05-12,0.38,26.38,21.85,32.44,nasa,0.46
1981-05-13,2.86,27.04,22.66,33.44,nasa,0.46
1981-05-14,7.97,26.04,21.93,32.1,nasa,0.47
1981-05-15,5.97,26.25,21.91,32.1,nasa,0.48
1981-05-16,3.17,26.16,22.29,32.09,nasa,0.48
1981-05-17,0.0,25.13,21.61,29.66,nasa,0.48
1981-05-18,0.12,24.7,22.42,27.47,nasa,0.48
1981-05-19,0.39,24.46,21.77,27.56,nasa,0.48
1981-05-20,0.01,25.73,22.36,30.48,nasa,0.47
1981-05-21,5.26,26.2,22.34,31.32,nasa,0.47
1981-05-22,9.03,25.01,22.37,29.98,nasa,0.49
1981-05-23,3.61,24.85,21.79,30.06,nasa,0.49
1981-05-24,2.69,26.36,20.74,33.56,nasa,0.49
1981-05-25,5.27,25.61,20.79,32.46,nasa,0.49
1981-05-26,0.04,25.85,20.83,32.42,nasa,0.49
1981-05-27,0.0,27.42,21.86,34.05,nasa,0.48
1981-05-28,0.08,26.37,23.21,30.58,nasa,0.48
1981-05-29,1.2,26.24,22.56,31.75,nasa,0.48
1981-05-30,2.37,26.23,21.37,33.03,nasa,0.48
1981-05-31,0.11,27.12,22.14,33.4,nasa,0.48
1981-06-01,0.19,27.2,22.98,32.69,nasa,0.47
1981-06-02,0.47,26.11,22.45,32.68,nasa,0.47
1981-06-03,1.88,24.28,21.65,27.81,nasa,0.47
1981-06-04,1.55,24.33,21.0,29.08,nasa,0.47
1981-06-05,3.46,24.19,20.91,29.39,nasa,0.47
1981-06-06,1.44,24.82,21.4,29.4,nasa,0.47
1981-06-07,8.44,23.94,21.79,27.95,nasa,0.48
1981-06-08,13.71,23.1,21.57,25.27,nasa,0.49
1981-06-09,10.0,22.68,20.68,25.96,nasa,0.52
1981-06-10,10.63,22.7,20.07,25.41,nasa,0.52
1981-06-11,10.08,23.03,21.46,25.93,nasa,0.53
1981-06-12,13.71,23.83,21.25,27.47,nasa,0.55
1981-06-13,2.98,24.06,21.29,27.53,nasa,0.54
1981-06-14,6.32,24.14,20.38,28.96,nasa,0.54
1981-06-15,4.31,24.5,21.23,29.35,nasa,0.53
1981-06-16,1.12,24.52,21.43,28.81,nasa,0.53
1981-06-17,6.33,23.72,21.19,27.43,nasa,0.52
1981-06-18,10.57,22.92,20.94,27.63,nasa,0.54
1981-06-19,0.5,23.91,20.97,28.15,nasa,0.53
1981-06-20,1.97,23.86,20.98,28.61,nasa,0.52
1981-06-21,7.85,22.98,20.87,26.1,nasa,0.52
1981-06-22,2.82,23.35,20.62,27.78,nasa,0.52
1981-06-23,0.15,22.51,20.59,25.53,nasa,0.52
1981-06-24,0.0,24.77,20.39,30.46,nasa,0.51
1981-06-25,0.0,25.17,20.1,31.47,nasa,0.5
1981-06-26,0.0,25.76,21.42,31.69,nasa,0.5
1981-06-27,0.0,24.74,21.64,28.4,nasa,0.49
1981-06-28,0.01,25.84,20.82,31.59,nasa,0.49
1981-06-29,0.01,25.59,21.91,30.44,nasa,0.49
1981-06-30,0.02,26.16,21.52,32.41,nasa,0.48
1981-07-01,0.61,24.72,21.51,29.22,nasa,0.48
1981-07-02,1.71,23.78,21.11,27.62,nasa,0.48
1981-07-03,6.93,22.42,20.24,26.05,nasa,0.48
1981-07-04,0.36,23.95,20.8,28.31,nasa,0.49
1981-07-05,0.12,24.65,21.68,29.29,nasa,0.49
1981-07-06,0.19,25.18,20.77,30.83,nasa,0.48
1981-07-07,0.0,26.03,21.21,31.69,nasa,0.48
1981-07-08,0.4,25.59,21.67,30.72,nasa,0.48
1981-07-09,3.72,24.14,21.32,29.18,nasa,0.48
1981-07-10,0.93,24.36,20.39,29.75,nasa,0.48
1981-07-11,0.0,25.84,20.61,32.26,nasa,0.48
1981-07-12,0.05,25.28,21.32,30.65,nasa,0.48
1981-07-13,2.38,24.83,21.87,29.31,nasa,0.47
1981-07-14,8.9,23.92,21.11,28.32,nasa,0.48
1981-07-15,0.16,25.27,20.53,30.55,nasa,0.49
1981-07-16,0.04,26.03,21.17,31.67,nasa,0.49
1981-07-17,2.41,25.59,21.97,30.79,nasa,0.48
1981-07-18,13.63,23.56,21.12,27.68,nasa,0.5
1981-07-19,17.61,23.41,20.08,28.01,nasa,0.52
1981-07-20,23.04,23.66,20.78,27.84,nasa,0.55
1981-07-21,0.43,23.98,20.87,28.36,nasa,0.57
1981-07-22,0.49,24.0,21.23,28.17,nasa,0.55
1981-07-23,0.07,24.99,21.08,30.09,nasa,0.54
1981-07-24,0.06,25.02,21.72,29.69,nasa,0.53
1981-07-25,0.01,25.11,21.12,30.25,nasa,0.52
1981-07-26,0.04,25.16,21.68,30.59,nasa,0.51
1981-07-27,0.01,24.15,21.77,27.81,nasa,0.51
1981-07-28,0.05,24.06,21.83,27.73,nasa,0.5
1981-07-29,0.05,25.08,21.48,30.1,nasa,0.5
1981-07-30,0.09,24.8,21.68,29.08,nasa,0.49
1981-07-31,0.17,24.95,21.04,30.17,nasa,0.49
1981-08-01,0.36,25.05,21.2,30.0,nasa,0.49
1981-08-02,0.38,23.99,21.52,27.91,nasa,0.49
1981-08-03,5.49,23.86,20.77,28.65,nasa,0.48
1981-08-04,19.88,22.17,20.2,25.81,nasa,0.51
1981-08-05,0.76,23.18,20.44,26.87,nasa,0.53
1981-08-06,4.56,22.83,20.67,26.14,nasa,0.52
1981-08-07,14.63,22.46,19.24,26.3,nasa,0.53
1981-08-08,3.23,22.33,20.68,25.22,nasa,0.54
1981-08-09,1.81,22.76,20.98,25.69,nasa,0.54
1981-08-10,1.39,23.12,20.54,26.61,nasa,0.53
1981-08-11,0.05,24.0,21.1,28.36,nasa,0.52
1981-08-12,0.39,24.49,20.93,29.44,nasa,0.51
1981-08-13,0.13,23.57,20.32,28.16,nasa,0.51
1981-08-14,0.27,23.34,20.93,26.63,nasa,0.5
1981-08-15,0.97,23.2,21.12,26.07,nasa,0.5
