date,rain_mm,tmean_c,tmin_c,tmax_c,status,gwetroot_fraction
1981-01-01,10.11,19.5,14.74,25.79,nasa,0.89
1981-01-02,11.03,20.24,16.11,25.44,nasa,0.89
1981-01-03,3.69,20.03,15.98,25.09,nasa,0.89
1981-01-04,2.13,20.9,16.1,26.42,nasa,0.88
1981-01-05,3.59,20.35,16.93,24.78,nasa,0.88
1981-01-06,9.14,21.25,17.34,25.88,nasa,0.88
1981-01-07,3.65,21.32,17.92,26.18,nasa,0.88
1981-01-08,24.86,21.1,16.84,26.62,nasa,0.89
1981-01-09,7.48,20.54,17.73,24.0,nasa,0.9
1981-01-10,20.76,19.56,17.25,22.26,nasa,0.91
1981-01-11,25.53,19.71,16.59,23.96,nasa,0.92
1981-01-12,30.98,20.39,17.89,23.92,nasa,0.95
1981-01-13,16.41,20.2,17.46,24.34,nasa,0.95
1981-01-14,25.35,20.18,17.39,23.35,nasa,0.96
1981-01-15,40.81,20.08,17.61,23.37,nasa,0.97
1981-01-16,13.85,21.38,18.09,26.25,nasa,0.98
1981-01-17,3.96,21.81,17.96,26.14,nasa,0.97
1981-01-18,2.93,21.45,17.14,27.15,nasa,0.97
1981-01-19,0.97,21.19,17.53,24.69,nasa,0.96
1981-01-20,9.17,20.36,17.03,23.76,nasa,0.96
1981-01-21,6.89,21.37,17.13,26.94,nasa,0.96
1981-01-22,18.79,19.23,16.4,23.12,nasa,0.97
1981-01-23,2.51,19.84,14.49,25.88,nasa,0.97
1981-01-24,17.07,20.64,15.26,26.62,nasa,0.96
1981-01-25,12.67,20.96,16.46,26.61,nasa,0.97
1981-01-26,3.15,20.51,16.4,26.76,nasa,0.97
1981-01-27,3.33,19.9,15.61,24.93,nasa,0.96
1981-01-28,1.11,20.05,15.42,25.9,nasa,0.96
1981-01-29,1.15,20.12,15.03,25.8,nasa,0.95
1981-01-30,0.51,21.15,15.52,27.7,nasa,0.95
1981-01-31,2.93,20.97,15.83,26.61,nasa,0.94
1981-02-01,0.93,20.97,16.54,26.1,nasa,0.94
1981-02-02,0.19,21.74,14.7,27.84,nasa,0.93
1981-02-03,1.7,22.44,15.54,28.87,nasa,0.92
1981-02-04,2.7,21.88,19.16,25.03,nasa,0.92
1981-02-05,5.0,22.76,17.8,28.64,nasa,0.92
1981-02-06,16.9,21.46,18.08,25.47,nasa,0.92
1981-02-07,13.86,20.3,16.67,24.63,nasa,0.94
1981-02-08,9.64,19.77,16.56,24.83,nasa,0.94
