date,rain_mm,tmean_c,tmin_c,tmax_c,status,gwetroot_fraction
1981-01-01,5.83,20.38,17.8,24.28,nasa,0.79
1981-01-02,0.74,19.67,17.53,22.73,nasa,0.78
1981-01-03,0.44,20.74,16.78,25.56,nasa,0.76
1981-01-04,1.18,22.93,16.85,28.89,nasa,0.75
1981-01-05,0.3,22.88,17.47,28.96,nasa,0.74
1981-01-06,0.3,22.42,16.85,28.47,nasa,0.73
1981-01-07,1.32,23.21,18.53,28.42,nasa,0.72
1981-01-08,14.74,22.26,18.73,26.46,nasa,0.73
1981-01-09,12.16,20.42,18.38,23.16,nasa,0.74
1981-01-10,5.6,21.38,17.83,26.02,nasa,0.76
1981-01-11,5.02,21.38,16.73,26.31,nasa,0.75
1981-01-12,8.55,20.5,18.76,23.08,nasa,0.76
1981-01-13,8.15,21.15,18.8,24.88,nasa,0.76
1981-01-14,1.99,20.72,18.08,24.39,nasa,0.76
1981-01-15,2.01,21.04,17.98,24.84,nasa,0.75
1981-01-16,1.25,22.49,18.03,27.65,nasa,0.75
1981-01-17,0.49,22.74,18.33,28.04,nasa,0.74
1981-01-18,0.04,21.54,16.78,27.41,nasa,0.73
1981-01-19,0.1,21.54,16.18,27.4,nasa,0.72
1981-01-20,1.23,21.05,15.73,26.65,nasa,0.71
1981-01-21,4.91,22.67,16.18,28.5,nasa,0.71
1981-01-22,16.52,21.11,18.65,24.9,nasa,0.72
1981-01-23,5.85,20.4,18.23,23.72,nasa,0.74
1981-01-24,10.78,21.72,17.85,26.88,nasa,0.74
1981-01-25,14.93,21.05,17.58,26.49,nasa,0.76
1981-01-26,6.98,20.22,16.45,25.34,nasa,0.76
1981-01-27,5.86,19.09,16.45,22.1,nasa,0.76
1981-01-28,4.42,19.84,15.37,24.99,nasa,0.76
1981-01-29,6.78,20.75,15.51,26.45,nasa,0.76
1981-01-30,1.17,21.83,17.11,27.06,nasa,0.75
1981-01-31,4.18,21.53,17.83,25.86,nasa,0.75
1981-02-01,0.66,21.38,16.57,26.7,nasa,0.74
1981-02-02,0.07,22.29,16.97,28.28,nasa,0.73
1981-02-03,0.11,23.08,17.9,28.88,nasa,0.72
1981-02-04,0.11,22.91,17.52,29.15,nasa,0.71
1981-02-05,0.4,23.1,17.15,29.11,nasa,0.7
1981-02-06,3.6,22.33,17.98,28.08,nasa,0.7
1981-02-07,0.74,21.2,17.91,25.47,nasa,0.7
1981-02-08,0.16,21.85,17.83,27.12,nasa,0.7
1981-02-09,8.49,21.47,18.7,25.01,nasa,0.7
1981-02-10,18.66,20.82,17.64,24.14,nasa,0.72
1981-02-11,4.37,21.5,17.38,26.48,nasa,0.74
1981-02-12,1.92,21.37,17.15,26.81,nasa,0.73
1981-02-13,0.47,21.46,17.08,27.14,nasa,0.72
1981-02-14,0.15,21.14,16.12,27.03,nasa,0.71
1981-02-15,2.98,20.5,14.84,26.73,nasa,0.71
1981-02-16,1.16,21.3,17.31,26.82,nasa,0.7
1981-02-17,1.42,20.26,15.97,26.09,nasa,0.7
1981-02-18,4.03,20.55,16.6,26.42,nasa,0.69
1981-02-19,1.45,20.73,16.85,26.21,nasa,0.69
1981-02-20,4.89,20.57,16.88,26.1,nasa,0.69
1981-02-21,2.81,20.44,16.06,26.44,nasa,0.69
1981-02-22,4.64,20.45,17.21,25.49,nasa,0.7
1981-02-23,2.82,19.73,15.95,25.12,nasa,0.7
1981-02-24,5.02,19.81,15.66,25.43,nasa,0.7
1981-02-25,3.67,20.48,15.94,26.75,nasa,0.7
1981-02-26,2.44,20.26,15.5,26.75,nasa,0.69
1981-02-27,4.29,20.52,15.27,26.51,nasa,0.69
1981-02-28,0.78,21.32,16.2,27.29,nasa,0.69
1981-03-01,2.94,21.5,16.89,27.95,nasa,0.68
1981-03-02,1.09,21.28,16.1,27.95,nasa,0.68
1981-03-03,0.31,23.12,17.01,29.87,nasa,0.67
1981-03-04,0.76,23.66,17.94,30.38,nasa,0.67
1981-03-05,6.03,21.38,19.04,25.23,nasa,0.67
1981-03-06,7.94,22.37,17.93,27.84,nasa,0.68
1981-03-07,15.54,21.51,18.38,25.55,nasa,0.69
1981-03-08,15.52,22.15,19.49,26.75,nasa,0.72
1981-03-09,21.14,22.05,18.71,26.78,nasa,0.74
1981-03-10,5.3,21.18,17.63,25.47,nasa,0.75
1981-03-11,1.38,22.33,18.09,27.55,nasa,0.74
1981-03-12,3.63,22.74,19.01,28.39,nasa,0.73
1981-03-13,0.76,22.09,17.11,28.04,nasa,0.72
1981-03-14,0.36,21.61,17.86,27.36,nasa,0.71
1981-03-15,0.49,22.63,16.19,28.96,nasa,0.7
1981-03-16,0.3,23.34,18.23,29.12,nasa,0.69
1981-03-17,1.24,23.22,19.04,27.91,nasa,0.68
1981-03-18,13.87,22.06,19.57,25.65,nasa,0.69
1981-03-19,22.51,20.59,17.57,24.7,nasa,0.72
1981-03-20,6.37,21.2,18.09,25.76,nasa,0.74
1981-03-21,11.6,21.08,19.16,23.69,nasa,0.74
1981-03-22,7.15,20.22,17.32,24.74,nasa,0.75
1981-03-23,1.06,18.64,15.6,23.73,nasa,0.74
1981-03-24,3.93,19.02,14.98,24.09,nasa,0.73
1981-03-25,2.19,20.5,16.91,25.32,nasa,0.73
1981-03-26,3.75,19.84,16.98,24.16,nasa,0.73
1981-03-27,9.66,19.63,16.06,24.29,nasa,0.74
1981-03-28,2.33,19.35,16.74,23.44,nasa,0.73
1981-03-29,4.19,18.71,16.35,21.64,nasa,0.73
1981-03-30,6.39,19.99,16.77,23.81,nasa,0.74
1981-03-31,9.12,21.72,18.54,25.33,nasa,0.74
1981-04-01,6.31,20.39,16.82,24.9,nasa,0.75
1981-04-02,1.69,19.02,14.51,24.51,nasa,0.74
1981-04-03,3.19,18.54,14.87,24.36,nasa,0.73
1981-04-04,1.18,18.88,13.82,25.19,nasa,0.73
1981-04-05,4.85,19.29,14.49,26.01,nasa,0.73
1981-04-06,1.81,19.37,14.4,25.56,nasa,0.72
1981-04-07,2.33,19.3,15.49,24.89,nasa,0.72
1981-04-08,5.22,18.97,15.15,24.2,nasa,0.72
1981-04-09,7.93,18.32,14.13,23.87,nasa,0.72
1981-04-10,0.98,17.94,14.36,23.22,nasa,0.73
1981-04-11,0.74,17.45,13.4,22.75,nasa,0.72
1981-04-12,1.34,17.49,12.9,23.25,nasa,0.71
1981-04-13,0.17,17.47,13.84,23.29,nasa,0.71
1981-04-14,0.11,18.25,13.54,24.18,nasa,0.7
1981-04-15,0.05,20.06,14.42,25.93,nasa,0.7
1981-04-16,3.4,20.28,15.56,25.72,nasa,0.7
