date,rain_mm,tmean_c,tmin_c,tmax_c,status,gwetroot_fraction
1981-01-01,17.24,24.25,22.28,27.86,nasa,0.58
1981-01-02,4.57,24.27,22.93,26.62,nasa,0.59
1981-01-03,1.11,25.58,21.87,30.46,nasa,0.58
1981-01-04,0.0,25.57,21.17,31.09,nasa,0.57
1981-01-05,0.09,24.89,20.13,30.28,nasa,0.55
1981-01-06,0.49,25.45,21.17,30.8,nasa,0.54
1981-01-07,0.07,26.12,21.58,31.72,nasa,0.54
1981-01-08,0.47,25.8,22.31,30.61,nasa,0.53
1981-01-09,0.4,25.75,21.9,30.58,nasa,0.53
1981-01-10,0.22,26.33,22.21,32.12,nasa,0.52
1981-01-11,0.41,26.35,21.84,31.87,nasa,0.51
1981-01-12,7.47,25.27,22.74,28.8,nasa,0.51
1981-01-13,3.14,25.05,22.7,28.4,nasa,0.52
1981-01-14,0.02,26.33,22.43,31.58,nasa,0.52
1981-01-15,0.0,26.37,21.53,32.5,nasa,0.51
1981-01-16,0.26,26.82,22.53,32.57,nasa,0.5
1981-01-17,1.59,26.03,21.84,31.14,nasa,0.5
1981-01-18,0.79,25.22,21.12,30.39,nasa,0.5
1981-01-19,1.36,25.76,21.89,31.49,nasa,0.49
1981-01-20,0.23,26.03,21.51,31.91,nasa,0.49
1981-01-21,0.03,27.01,21.55,33.28,nasa,0.48
1981-01-22,16.97,26.79,23.32,32.99,nasa,0.49
1981-01-23,18.08,24.85,23.15,27.5,nasa,0.53
1981-01-24,6.09,24.91,22.55,28.46,nasa,0.55
1981-01-25,4.16,25.08,21.94,29.35,nasa,0.54
1981-01-26,7.73,24.69,22.21,28.38,nasa,0.54
1981-01-27,9.18,23.61,22.15,25.91,nasa,0.55
1981-01-28,10.86,24.64,21.63,28.93,nasa,0.56
1981-01-29,3.98,24.58,21.29,29.09,nasa,0.56
1981-01-30,0.25,25.16,21.68,29.7,nasa,0.54
1981-01-31,0.37,25.74,20.63,31.42,nasa,0.53
1981-02-01,1.07,25.74,21.97,30.23,nasa,0.52
1981-02-02,0.26,26.11,21.79,31.63,nasa,0.52
1981-02-03,0.01,25.91,21.86,31.3,nasa,0.51
1981-02-04,0.01,25.82,21.31,31.62,nasa,0.5
1981-02-05,0.0,25.53,19.69,32.2,nasa,0.49
1981-02-06,0.01,24.95,21.58,29.1,nasa,0.49
1981-02-07,0.16,25.87,21.34,31.09,nasa,0.49
1981-02-08,0.59,26.7,23.23,31.43,nasa,0.48
1981-02-09,0.84,26.84,21.82,33.11,nasa,0.48
1981-02-10,9.23,25.83,22.32,31.28,nasa,0.48
1981-02-11,5.45,25.99,22.42,31.7,nasa,0.5
1981-02-12,3.52,25.54,21.69,30.14,nasa,0.5
1981-02-13,1.78,25.94,22.31,30.82,nasa,0.49
1981-02-14,1.93,25.77,22.5,30.49,nasa,0.49
1981-02-15,4.15,25.43,22.32,29.98,nasa,0.49
1981-02-16,2.64,25.83,22.06,30.85,nasa,0.49
1981-02-17,3.6,25.66,22.72,30.16,nasa,0.49
1981-02-18,2.47,25.82,22.58,30.8,nasa,0.49
1981-02-19,4.79,25.87,22.25,31.07,nasa,0.48
1981-02-20,7.66,25.18,22.37,29.99,nasa,0.49
1981-02-21,4.2,24.94,21.74,29.73,nasa,0.5
1981-02-22,2.56,25.51,21.72,30.58,nasa,0.49
1981-02-23,5.96,24.75,21.53,29.05,nasa,0.49
1981-02-24,3.49,25.03,21.52,29.82,nasa,0.5
1981-02-25,3.15,25.44,21.74,30.69,nasa,0.49
1981-02-26,2.64,25.34,21.37,30.54,nasa,0.49
1981-02-27,2.5,24.74,22.28,28.27,nasa,0.49
1981-02-28,0.79,25.73,21.8,31.29,nasa,0.49
1981-03-01,0.42,26.57,21.81,32.73,nasa,0.48
1981-03-02,2.35,25.99,22.28,31.22,nasa,0.48
1981-03-03,0.26,26.61,21.64,32.66,nasa,0.47
1981-03-04,0.03,27.21,22.07,33.63,nasa,0.47
1981-03-05,0.05,26.82,22.26,32.24,nasa,0.47
1981-03-06,0.06,27.31,23.42,32.9,nasa,0.46
1981-03-07,0.14,27.61,23.28,33.61,nasa,0.46
1981-03-08,0.63,26.61,24.14,29.95,nasa,0.46
1981-03-09,22.78,26.76,23.56,30.87,nasa,0.48
1981-03-10,20.49,26.96,24.08,31.92,nasa,0.52
1981-03-11,7.1,26.04,23.59,30.58,nasa,0.54
1981-03-12,0.43,27.13,22.96,32.82,nasa,0.53
1981-03-13,0.04,27.13,23.96,32.3,nasa,0.51
